Longitude,Latitude
36.34676,0.05122
36.34676,0.05122
36.97636,-1.44281
36.97636,-1.44281
35.7136,-0.23212
35.7136,-0.23212
35.25843,0.52103
37.75295,-0.78764
39.64703,-0.44042
39.64703,-0.44042
39.63642,-0.4198
36.91638,-1.27759
36.91638,-1.27759
35.68636,-0.58489
39.61907,-4.02024
39.61907,-4.02024
34.09883,0.46224
36.52984,-0.74671
37.73098,-3.23127
37.4636,-1.19381
37.74693,-3.21367
37.71177,-3.20238
37.28906,-1.40565
37.23971,-1.31943
34.47002,0.71653
37.95057,0.15005
37.32024,-1.48215
37.41844,-1.03035
37.30228,-1.42466
36.86866,-0.82473
36.89311,-1.21114
36.89311,-1.21114
36.90965,-0.90953
36.88296,-0.64451
36.96342,-0.73737
36.96342,-0.73737
36.96919,-0.70085
37.00563,-0.67707
36.92173,-0.6187
38.05525,0.22549
38.02148,0.20855
36.82125,-1.15464
37.98278,-1.54291
37.33564,-1.05628
39.13486,-4.5026
36.95848,-0.66042
37.32939,-1.46694
37.50875,-2.02785
34.44773,0.70151
34.44773,0.70151
38.06493,-1.03177
37.4884,-1.09973
36.80039,-1.14899
36.82778,-1.16776
36.82778,-1.16776
36.94702,-0.60579
36.84728,-1.2067
36.95848,-0.66042
36.80039,-1.14899
37.08066,-0.63844
38.53396,-3.38698
38.04247,-1.0568
35.75726,-0.2776
36.96162,-0.68132
36.96162,-0.68132
36.99356,-0.68132
37.61429,-1.78776
36.98746,-0.72817
36.32783,-0.03365
36.95637,-1.14127
36.95637,-1.14127
37.10622,-0.71164
36.8293,-0.66543
37.93285,0.31316
35.18405,0.11234
37.93693,0.24086
37.93693,0.24086
35.54816,-0.2107
35.28691,-0.41189
35.28859,-0.41005
35.09432,-0.60855
38.73055,-3.60403
35.18803,-0.58445
35.18803,-0.58445
35.1506,-0.51923
35.1506,-0.51923
36.69775,-1.19225
36.69775,-1.19225
35.162,-0.49203
35.162,-0.49203
37.99199,-1.0713
37.27562,-1.4321
37.51896,-1.2454
37.51896,-1.2454
37.37392,-1.47827
37.37392,-1.47827
37.46695,-1.17868
37.30826,-1.46841
37.542,-1.26653
37.44603,-1.1857
37.36985,-1.42361
37.44603,-1.1857
35.1895,-0.55986
38.0472,-1.06219
38.04424,-1.06061
37.86844,0.25226
36.52641,-0.65789
39.29614,-4.43093
37.54153,-1.1463
34.74993,0.10085
37.2899,-1.42605
37.56015,-1.85975
37.56733,-1.8621
39.04327,-3.73113
37.72665,-3.24378
37.73398,-3.20359
35.2997,-0.61549
35.2997,-0.61549
34.97436,0.47648
38.55093,-3.39078
37.56845,-1.87352
35.2259,-0.27538
38.04574,-1.05356
37.92751,0.31015
37.95267,0.26476
37.96793,0.26206
37.35002,-0.61449
37.35002,-0.61449
35.72947,-0.31246
38.05167,0.25632
36.06866,-0.15409
36.22535,0.00418
38.05851,0.24011
37.86448,0.25938
36.93245,-0.67781
37.9443,0.29259
36.79243,-1.08601
36.79243,-1.08601
37.58626,0.35988
37.5872,0.36253
39.64105,-0.44989
39.64105,-0.44989
36.50651,-0.64458
39.84635,-0.78668
39.84635,-0.78668
39.84635,-0.78668
40.09997,0.07722
40.09997,0.07722
39.7115,0.63225
39.7115,0.63225
40.17952,-1.97955
34.12533,0.35766
39.70017,-4.02422
39.70017,-4.02422
37.06579,-1.15037
37.24311,-1.51485
35.72134,0.05325
39.28817,-4.43692
36.2179,-0.18411
34.47883,-1.23594
34.47883,-1.23594
37.87001,-2.26335
37.71059,-1.6439
37.43542,-1.59724
37.66846,-1.24274
37.44698,-1.36543
37.19843,-1.54094
37.19827,-1.54223
37.32867,-1.40919
37.32867,-1.40919
37.35944,-1.89768
37.36195,-1.55048
37.34731,-1.80598
38.12333,-1.08291
37.38071,-1.3652
37.27822,-1.96453
37.53566,-1.54971
37.42451,-1.47616
37.42451,-1.47616
37.23013,-1.90644
38.11812,-1.59116
37.27875,-1.85385
39.62263,-4.0294
37.25799,-1.47284
38.0117,-1.44194
38.1187,-1.59116
37.25165,-1.4543
37.50981,-2.02256
37.84809,-2.27852
37.95813,-0.04329
34.7164,-0.71577
34.7164,-0.71577
37.13672,-1.54608
37.43458,-1.54024
40.14597,-1.47899
40.32001,0.11971
40.32001,0.11971
34.70619,-0.9334
34.70619,-0.9334
36.58563,-0.66071
36.55866,-0.65915
36.97019,-0.92259
36.79286,-0.30616
36.57492,-0.07574
36.57493,-0.07574
36.97019,-0.92259
36.62998,-0.53842
39.66663,-4.08893
39.66663,-4.08893
34.18732,-0.02685
34.18732,-0.02685
39.91907,3.68008
34.21618,-0.19106
34.21618,-0.19106
40.10898,-2.26531
40.10898,-2.26531
34.67884,-0.72651
34.67884,-0.72651
34.58825,-0.04796
34.58825,-0.04796
34.51005,-0.16605
34.51005,-0.16605
34.39541,0.65922
34.39541,0.65922
34.33446,-0.03896
34.33446,-0.03896
37.69279,-3.45778
37.69279,-3.45778
35.05256,-0.91704
35.05256,-0.91704
35.05256,-0.91704
37.64716,-0.01713
35.23589,-0.31626
35.23589,-0.31626
35.6256,1.26482
35.34951,0.48462
39.65835,-0.45791
39.65835,-0.45791
39.64664,-0.44562
39.64664,-0.44562
39.65569,-4.04517
39.65569,-4.04517
39.65569,-4.04517
39.60356,-4.00791
39.60356,-4.00791
40.34905,3.94544
37.58809,0.35314
39.55623,-4.18478
40.89925,-2.26242
34.87452,0.12926
34.94272,0.72119
36.92175,-0.98947
35.51488,0.94331
35.51488,0.94331
34.86649,0.13166
37.60961,-0.42614
34.89955,0.12884
34.86649,0.13166
35.30963,0.52818
35.24523,0.48245
35.24523,0.48245
35.30963,0.52818
36.85786,-1.26269
36.85786,-1.26269
34.50764,-0.3527
34.50764,-0.3527
34.43357,-0.6234
34.43357,-0.6234
34.9051,-0.39636
34.9051,-0.39636
34.25473,-0.78456
34.25473,-0.78456
39.47159,-3.86367
37.97823,0.18155
37.97823,0.18155
39.72631,-3.91309
34.87501,-0.33315
34.87584,-0.33408
34.87501,-0.33315
37.25404,-1.43823
37.26278,-1.49483
35.09603,0.20122
35.09603,0.20122
36.92253,-1.52231
36.92253,-1.52231
37.01944,-0.14654
37.01944,-0.139
36.71992,-1.25201
36.71992,-1.25201
36.7759,-1.40439
36.7759,-1.40439
36.94625,-1.36842
36.94625,-1.36842
36.86768,-0.78378
36.90927,-0.82372
36.8951,-0.80572
36.86866,-0.81844
36.91276,-0.81274
36.93832,-0.8589
36.93987,-0.87379
37.01569,-0.7877
37.00237,-0.79506
36.62095,-1.00108
36.90977,-0.78609
34.78036,-0.08627
36.09198,-0.29036
34.27132,0.03222
34.99196,-0.38037
35.19146,-0.07571
34.58629,-0.51383
35.19147,-0.07431
34.99535,-0.38377
34.58755,-0.5129
34.99196,-0.38037
35.19146,-0.07571
34.58629,-0.51383
34.0141,-0.03703
34.0243,-0.03283
35.87792,-1.08555
36.92285,-1.22083
34.91084,-0.37006
34.91084,-0.37006
36.92285,-1.22083
36.99151,-1.14627
34.25286,0.55654
34.88957,-0.10219
34.88957,-0.10219
34.5385,-1.0198
34.60623,-0.4109
34.5385,-1.0198
34.60623,-0.4109
34.18174,0.53539
34.18174,0.53539
37.46415,-0.74136
37.61036,-0.55962
37.39108,-0.80452
37.42501,-0.83598
37.4968,-0.83159
37.40558,-0.81826
37.3883,-0.83221
34.15028,0.51306
37.47772,-0.42509
39.75235,-3.44242
39.61564,-3.88724
39.67864,-4.03722
34.91005,0.11878
35.42875,0.44758
35.42875,0.44758
36.07079,-0.28989
34.3934,0.73732
34.94221,0.16002
35.14755,0.23408
35.14755,0.23408
37.46838,-0.41378
36.47526,-0.077
37.46838,-0.41378
37.63417,-0.41291
37.63417,-0.41291
36.59618,-0.87852
34.41749,0.02045
36.61099,-0.80433
37.12828,-0.77938
36.72299,-1.13109
36.78505,-1.84379
36.78505,-1.84379
36.0586,-0.31041
36.65972,-1.36781
36.65972,-1.36781
36.71583,-1.20841
35.78439,0.02714
39.67864,-4.03722
37.62842,-1.78254
36.72299,-1.13109
35.78439,0.02714
35.20265,-0.09947
